m199,m99,m49,m19,m9,m5,m3,m1,p5
-34.023667630954,-24.9085971493896,-26.3025545094912,-16.6003932111448,-12.1186720775791,1.51798583213222,-3.56718152112062,0.328811745905189,-5.63886588910355
-45.4933193907771,-34.786438954165,-31.3156019352459,-20.0848013006686,-17.4458621763996,-1.58322022912108,-10.1808115570421,-5.09953767534137,-6.13448598164309
-42.4158361833535,-36.5418638952389,-34.2799108568722,-11.5225746717243,-9.7813409509318,-9.07831604181544,-4.97500475501788,-0.211015133517301,-6.59171083749324
-53.2839876323433,-36.786283144383,-40.0700833879884,-18.697273493863,-14.5717230394453,-15.3077860020613,-9.99006839688935,-4.43286798463413,-6.0605265623536
-40.2390029999046,-34.0409668950457,-29.9015225664201,-12.1960785699395,-2.12608079601709,-3.35925712609845,1.33140642170391,5.71854605330573,-9.90604539078264
-43.9389453006514,-38.7080582958993,-29.4729392052923,-11.257276154435,-2.43019947135036,-5.97583522308725,-0.62145219765141,-2.194401513729,-7.7607499313911
-52.4937907985548,-43.9161271369763,-43.313329085769,-25.2255723720103,-15.962321306622,-6.53539912479826,-1.79847469201979,-5.65447463097695,8.84205546505106
-53.5997080123711,-43.862688975546,-45.6269089651728,-23.9130184221142,-18.2050444704843,-7.05687995850703,-8.73043010546133,-0.7015386979657,5.4113759917014
-64.584646564587,-55.6376519026227,-48.3379479282198,-31.9939039472739,-16.7011098965107,-6.45152281631253,-10.4837744460491,-3.84234841654232,8.51253121833284
-55.5354663612761,-55.1793516201652,-45.1591142626307,-30.2842642779264,-15.1023241585417,-10.9952387302235,-2.79910892875353,1.69429039823668,13.5562841701507
-55.3840432195427,-58.2034920137801,-41.7984653930473,-28.8157688694018,-9.31764797995615,-8.41371750704667,-1.89672721578452,0.182430316316955,16.3838866269965
-46.1717498519035,-42.378727386807,-25.5784525758272,-14.9568679960882,2.32537760220409,8.12374906672929,12.1397049287209,10.4620960646647,0.362442032058949
-55.0114808470314,-44.3656376425994,-30.1855159091738,-11.4950614134198,2.74993621751649,5.13357874403178,7.06928600065605,-3.97893355687575,0.18879615118272
-53.629348029898,-41.327470394241,-36.9585758352299,-12.3956307377818,-4.0508693302352,7.84474486288149,6.08512781672922,-0.874661293939872,-2.96517164170872
-43.7502374464235,-37.9938453887041,-23.3205198608823,0.17717820397251,4.35416299704011,11.9379427296496,1.46854137093794,6.06066885635441,-11.9469225216637
-43.5273856255319,-31.4789213262426,-16.3160001480031,4.58439710586597,11.8335233828135,14.0774527314988,7.70995421993939,2.60754614165918,-14.457888062538
-50.4957722276745,-32.3905686275195,-17.1181995033546,-6.15707545028133,9.09329039784019,0.361133133790401,5.00487215398103,-3.83136409833717,-16.1909185843861
-54.0358254998399,-40.6169057943599,-25.6278920869591,-11.9255842379442,8.81595413404733,0.188440382992357,-5.32980704868891,-4.15914845318821,-19.5919792788336
